State County Code,TEMP,WIND,Year
19163,51.61463419843594,3.448476926549343,2016
19177,53.65641256906073,4.410526067605632,2016
20209,62.32737297814202,7.495075937158465,2016
21013,60.149277532934164,1.7478861766467084,2016
21015,55.696262956284144,1.4934744890710383,2016
21019,59.99719945628421,1.2369649098360656,2016
21043,57.18442780601094,2.5423970655737698,2016
21047,59.035397251366064,3.479640989071039,2016
21059,62.448442270491775,3.212516594520549,2016
21061,57.89908471091442,3.0059767584097843,2016
21111,59.53719660136982,3.586765606557375,2016
21113,59.5062082759563,3.4397791912568327,2016
21139,59.40594912568303,2.945871710382511,2016
21185,57.11167528415298,2.812432142076499,2016
21193,60.456756676190444,1.3201157746031744,2016
21213,59.97348304371583,3.0535593726027415,2016
22033,68.5968856655011,3.012691038321169,2016
