State County Code,Year,RH_DP
49045,2008,52.64030810928959
49047,2008,38.53529145901642
49053,2008,34.76839313387977
50003,2008,67.82663030410954
50007,2008,62.45704022178985
50021,2008,65.46004098907108
51113,2008,71.96404273626374
51163,2008,67.79164768032783
53009,2008,67.11825872289155
53011,2008,77.15770049689448
53033,2008,77.50110641237114
53053,2008,84.12981276775959
53057,2008,79.51802751816604
55041,2008,75.03472168695649
56005,2008,60.07976095323605
56011,2008,59.06476802727276
56013,2008,54.338080103825085
56019,2008,60.0486862005495
56023,2008,62.0332688181818
56033,2008,60.538116556010934
56035,2008,58.01843516268653
56037,2008,54.18850902378048
56039,2008,65.78238930165287
56041,2008,54.3873297431694
56045,2008,56.29678484727264
80006,2008,36.56784736182906
