Region,Year,Personal income (thousands of dollars),Population (persons),Per capita personal income (dollars),Construction,Manufacturing,Wholesale trade,Retail trade,Information,"Professional, scientific, and technical services",Administrative and support and waste management and remediation services,Other services (except government and government enterprises),Farm earnings Forestry Fishing Mining Quarrying Oil Gas extraction,Finance Insurance Real estate Rental Leasing,Arts Entertainment Recreation Accommodation Food services,State County Code
6.0,2016,1116270.0,37599.0,29689.0,12984.0,10830.0,9020.0,47381.0,1584.0,24305.0,,23526.0,15919.02,5145.01,34423.0,04009
6.0,2016,355062.0,9613.0,36936.0,5377.0,145.0,11611.0,,116.0,,,,3443.0200000000004,,,04011
6.0,2016,645687.0,20317.0,31781.0,6833.0,7596.0,,33641.0,8381.0,5953.0,3975.0,,17273.01,2840.01,,04012
6.0,2016,185111698.0,4242997.0,43628.0,8198717.0,11185758.0,8010665.0,10200566.0,3673216.0,12192372.0,9577673.0,4825472.0,1030455.0,16930339.0,6934920.0,04013
6.0,2016,6166757.0,205249.0,30045.0,165023.0,175474.0,50204.0,325881.0,40762.0,95209.0,100724.0,138365.0,11330.0,126539.0,198236.0,04015
6.0,2016,3235693.0,110026.0,29408.0,109314.0,13165.0,15333.0,138818.0,85014.0,28028.0,26367.0,53271.0,64487.0,39545.0,85587.0,04017
6.0,2016,40182115.0,1016206.0,39541.0,1119836.0,2581120.0,612545.0,1601926.0,450784.0,1836611.0,1238651.0,1037091.0,244519.0,1435217.0,1169228.0,04019
6.0,2016,11689781.0,418540.0,27930.0,189884.0,231191.0,109557.0,300497.0,36513.0,108527.0,276452.0,207645.0,277423.0,134912.0,156138.0,04021
6.0,2016,1611877.0,45985.0,35052.0,25212.0,28618.0,194285.0,88085.0,4364.0,24969.0,17033.0,33732.0,18570.0,30335.0,32612.0,04023
6.0,2016,8199948.0,225562.0,36353.0,301677.0,220080.0,151162.0,347197.0,51158.0,152459.0,102835.0,199276.0,106419.0,194803.0,296614.0,04025
6.0,2016,6860818.0,205631.0,33365.0,161386.0,145575.0,108540.0,344212.0,29719.0,181864.0,164026.0,124034.0,1193233.0,135745.0,156389.0,04027
5.0,2016,118697988.0,2988248.0,39722.0,4182741.0,9418730.0,3871531.0,5159978.0,1014592.0,3672066.0,2490375.0,2914083.0,2407230.0,4246503.0,2505911.0,05000
5.0,2016,786692.0,18214.0,43192.0,19474.0,229348.0,35982.0,46369.0,6893.0,12620.0,,15046.0,89483.0,22435.0,8063.0,05001
5.0,2016,683629.0,20492.0,33361.0,41847.0,140346.0,,22155.0,1418.0,,8352.0,16049.0,41762.0,10625.0,9526.0,05003
5.0,2016,1418157.0,41062.0,34537.0,38788.0,126747.0,11186.0,71573.0,11637.0,24486.0,,39305.0,-1483.98,62118.0,36335.0,05005
5.0,2016,19773337.0,258291.0,76554.0,436732.0,611404.0,987462.0,432015.0,65286.0,719146.0,,250651.0,67901.0,251376.0,282286.0,05007
5.0,2016,1232001.0,37304.0,33026.0,,98566.0,16155.0,71529.0,17040.0,13980.0,66307.0,36163.0,-2910.99,31861.0,22781.0,05009
5.0,2016,357604.0,10996.0,32521.0,8527.0,40622.0,7554.0,10786.0,1513.0,1978.0,1140.0,10947.0,11026.02,7809.0,,05011
5.0,2016,163256.0,5144.0,31737.0,6901.0,126999.0,,,,,,,459.02,,274.01,05013
5.0,2016,866397.0,27646.0,31339.0,36127.0,140802.0,,34348.0,3499.0,9209.0,19654.0,20901.0,17072.019999999997,24825.0,34777.0,05015
5.0,2016,368316.0,10945.0,33652.0,11551.0,3658.0,4091.0,10554.0,,,527.0,8922.0,43992.0,11810.0,2303.01,05017
5.0,2016,728752.0,22657.0,32165.0,9522.0,96534.0,2453.0,43643.0,,17048.0,9554.0,,19236.0,16946.0,20381.0,05019
5.0,2016,510469.0,14920.0,34214.0,11608.0,5671.0,12342.0,13591.0,1794.0,2500.0,3811.0,14930.0,49935.01,7325.0,,05021
5.0,2016,867231.0,25264.0,34327.0,28737.0,59473.0,11291.0,30642.0,2950.0,11533.0,9026.0,19921.0,22540.0,21093.0,19441.0,05023
5.0,2016,293005.0,8241.0,35555.0,3009.0,4081.0,,1542.0,,,,4448.0,26414.01,,,05025
5.0,2016,803882.0,23901.0,33634.0,15873.0,131452.0,18322.0,28426.0,2773.0,,6229.0,16804.0,43292.0,25429.0,12634.0,05027
5.0,2016,749861.0,20937.0,35815.0,43766.0,62383.0,7791.0,27630.0,372.0,4654.0,15726.0,14701.0,39777.0,,8278.0,05029
5.0,2016,3744178.0,105835.0,35378.0,184806.0,383204.0,142561.0,229831.0,26200.0,92593.0,103495.0,110700.0,57516.020000000004,144633.0,118561.0,05031
5.0,2016,1902744.0,62267.0,30558.0,64604.0,226633.0,54100.0,68893.0,4545.0,,55944.0,51244.0,23240.0,28362.0,31473.01,05033
5.0,2016,1714869.0,49235.0,34830.0,54722.0,138066.0,63230.0,68771.0,2856.0,20935.0,41180.0,57146.0,19449.019999999997,36681.0,61563.0,05035
5.0,2016,619797.0,17037.0,36379.0,6414.0,22273.0,22175.0,38181.0,1792.0,5784.0,,19007.0,24304.01,19491.0,6384.0,05037
5.0,2016,237359.0,7469.0,31779.0,4780.0,26817.0,,11283.0,845.0,,790.0,4961.0,8378.01,4696.0,,05039
5.0,2016,468346.0,11876.0,39436.0,9089.0,57050.0,13704.0,14548.0,636.0,3409.0,,8811.0,80210.0,9617.0,7837.0,05041
5.0,2016,664781.0,18651.0,35643.0,18062.0,44345.0,10289.0,29164.0,2896.0,5748.0,6019.0,14037.0,62878.0,15428.0,,05043
5.0,2016,4297368.0,122227.0,35159.0,215388.0,207842.0,50273.0,198913.0,20896.0,292089.0,143252.0,101155.0,40440.01,99817.0,93217.01,05045
5.0,2016,527424.0,17626.0,29923.0,10958.0,48937.0,1839.0,18345.0,960.0,,12473.0,11285.0,26399.0,4457.0,,05047
5.0,2016,319550.0,12123.0,26359.0,5913.0,4037.0,2121.0,4965.0,1166.0,2013.0,,7681.0,6330.02,5225.0,,05049
5.0,2016,3760572.0,97477.0,38579.0,175874.0,146771.0,66449.0,212187.0,24736.0,63268.0,97181.0,104054.0,17085.0,119988.0,175272.0,05051
5.0,2016,643505.0,18082.0,35588.0,15739.0,72649.0,6825.0,16270.0,,5037.0,,,4087.0200000000004,6672.0,,05053
5.0,2016,1460810.0,44598.0,32755.0,43089.0,300825.0,42331.0,68979.0,3890.0,,22639.0,35394.0,42328.020000000004,39021.0,21399.0,05055
5.0,2016,657680.0,21974.0,29930.0,16023.0,115947.0,9282.0,27052.0,1951.0,6692.0,,17484.0,19989.019999999997,11610.0,11655.0,05057
5.0,2016,999127.0,33374.0,29937.0,30124.0,86736.0,8870.0,27648.0,4029.0,,30233.0,21537.0,-930.98,14161.0,10932.0,05059
5.0,2016,419321.0,13377.0,31346.0,16142.0,141792.0,4235.0,19721.0,758.0,,3921.0,14129.0,25584.019999999997,7699.0,,05061
5.0,2016,1262364.0,37168.0,33964.0,35409.0,166267.0,27361.0,61785.0,5507.0,,35389.0,38946.0,29670.0,41941.0,23072.0,05063
5.0,2016,397034.0,13433.0,29557.0,11540.0,14426.0,,13117.0,522.0,1714.0,1962.0,7907.0,6008.02,10466.0,1875.0,05065
5.0,2016,575745.0,17221.0,33433.0,9480.0,122079.0,29322.0,24616.0,6466.0,5964.0,1465.0,12105.0,36679.009999999995,12865.0,,05067
5.0,2016,2326200.0,70016.0,33224.0,47076.0,324719.0,40525.0,102602.0,4898.0,31674.0,63765.0,66219.0,61906.0,70084.0,36485.0,05069
5.0,2016,696074.0,26176.0,26592.0,18567.0,117517.0,3933.0,27162.0,1661.0,5344.0,10535.0,17247.0,12075.02,13879.0,8910.01,05071
5.0,2016,226013.0,6847.0,33009.0,7881.0,3621.0,,,,1984.0,,5511.0,32371.0,2191.0,,05073
5.0,2016,537254.0,16735.0,32104.0,15596.0,23024.0,11910.0,18944.0,,,2631.0,,42875.01,12142.0,,05075
5.0,2016,255049.0,9310.0,27395.0,,,7525.0,6598.0,,3004.0,,,21648.019999999997,4742.01,1567.0,05077
5.0,2016,344430.0,13705.0,25132.0,9042.0,11481.0,2926.0,5771.0,367.0,1175.0,1066.0,8012.0,28332.019999999997,4590.0,,05079
