State County Code,Year,AQI
13115,2016,34.96994535519126
13121,2016,51.46174863387978
13127,2016,36.180758017492714
13135,2016,42.68219178082192
13139,2016,33.42016806722689
13151,2016,41.202739726027396
13153,2016,34.63636363636363
13185,2016,34.813455657492355
13213,2016,41.88
13215,2016,41.09722222222222
13223,2016,45.08791208791209
13231,2016,41.75811209439528
13245,2016,42.42465753424658
13247,2016,49.020833333333336
13261,2016,39.70204081632653
13295,2016,40.258620689655174
13303,2016,32.2436974789916
13319,2016,37.41880341880342
15001,2016,148.57650273224044
15003,2016,30.415300546448087
15007,2016,15.245810055865922
15009,2016,23.56830601092896
16001,2016,43.47267759562842
16005,2016,32.560109289617486
16009,2016,38.950819672131146
16013,2016,16.964601769911503
16015,2016,34.26721763085399
16017,2016,24.101092896174862
16019,2016,27.97530864197531
