State County Code,Year,ALAND,AWATER,INTPTLAT,INTPTLONG
06065,2016,18664206749,250926952,33.729828,-116.002239
06067,2016,2499183617,76073827,38.450011,-121.340441
06069,2016,3596755292,4555000,36.610702,-121.085296
06071,2016,51948120575,123845026,34.857220,-116.181197
06073,2016,10895149811,826195031,33.023604,-116.776117
06075,2016,121455687,479136515,37.727239,-123.032229
06077,2016,3606276598,89025932,37.934982,-121.272244
06079,2016,8548640337,815490673,35.385224,-120.447544
06081,2016,1161658961,757412213,37.414663,-122.371545
06083,2016,7084000598,2729814515,34.537057,-120.039973
06085,2016,3344210021,33276429,37.220777,-121.690622
06087,2016,1152967330,419570389,37.012488,-122.007205
06089,2016,9778179454,186530168,40.760514,-122.043556
06091,2016,2468694587,23299110,39.576925,-120.521993
06093,2016,16261974847,179108278,41.587986,-122.533287
06095,2016,2128380148,218647027,38.267226,-121.939594
06097,2016,4081437574,497508807,38.525182,-122.926110
06099,2016,3874642752,46376455,37.562316,-121.002831
06101,2016,1560255999,15724974,39.036190,-121.703940
06103,2016,7639720404,32276063,40.126156,-122.232276
06105,2016,8234265201,73407949,40.647724,-123.114404
06107,2016,12495016292,37081410,36.228824,-118.781061
06109,2016,5752184086,138627184,38.021434,-119.964733
06111,2016,4773390489,945942791,34.358741,-119.133143
06113,2016,2628256658,22688574,38.679595,-121.902441
06115,2016,1636971148,31000614,39.266247,-121.340781
08001,2016,3023271523,41765935,39.874325,-104.331872
08003,2016,1871465871,1847609,37.568442,-105.788041
08005,2016,2066627495,19498045,39.644554,-104.331706
08007,2016,3496717295,13735089,37.202395,-107.050863
08009,2016,6617400584,6142193,37.306693,-102.537758
08011,2016,3918303376,73093279,37.931891,-103.077584
08013,2016,1881211993,36590886,40.094970,-105.397691
08014,2016,85478497,1411781,39.953302,-105.052038
08015,2016,2624715689,3999975,38.738224,-106.316685
08017,2016,4605714032,8166134,38.835386,-102.604585
08019,2016,1023554666,3280482,39.689403,-105.670783
08021,2016,3334423634,9235291,37.213406,-106.176447
08023,2016,3179452292,8828906,37.277547,-105.428940
08025,2016,2039420471,33430385,38.306180,-103.772736
08027,2016,1913031958,3364151,38.101994,-105.373515
08029,2016,2957991297,16886462,38.861756,-107.864757
08031,2016,397133930,4225831,39.761850,-104.881105
08033,2016,2763958520,2716141,37.747602,-108.530383
08035,2016,2176272717,6752511,39.325414,-104.925987
08037,2016,4362874882,18849997,39.626992,-106.695169
08039,2016,4793658887,442148,39.310582,-104.117729
08041,2016,5508492691,7108817,38.827383,-104.527472
08043,2016,3970664556,2235368,38.455170,-105.424958
08045,2016,7634080241,21423704,39.599352,-107.909780
08047,2016,388228973,942056,39.861156,-105.528878
08049,2016,4782260510,59902382,40.123205,-106.095935
08051,2016,8389338061,53067068,38.672640,-107.066506
08053,2016,2893614470,15324686,37.821165,-107.338261
08055,2016,4120756339,5792101,37.687815,-104.959928
08057,2016,4179530269,18750017,40.663432,-106.329248
08059,2016,1979302374,25443077,39.579511,-105.245462
08061,2016,4578603605,47032919,38.387663,-102.756849
08063,2016,5596501948,2251930,39.305340,-102.603023
08065,2016,976215872,18111565,39.205341,-106.350079
08067,2016,4376514359,25383359,37.287367,-107.839718
08069,2016,6724080411,97955155,40.658093,-105.486764
08071,2016,12361852550,6929970,37.318831,-104.044110
08073,2016,6676158690,22780366,38.993740,-103.507555
08075,2016,4761948003,16363553,40.728091,-103.090464
08077,2016,8621911414,31428362,39.019421,-108.461893
08079,2016,2268209082,5222161,37.549067,-107.003236
08081,2016,12284943876,19803412,40.616358,-108.211099
08083,2016,5255807830,27390369,37.338025,-108.595786
08085,2016,5804023644,4923261,38.407507,-108.266282
08087,2016,3316441508,34663099,40.263167,-103.812285
08089,2016,3268464526,20052339,37.884170,-103.721260
08091,2016,1402719349,1599543,38.154731,-107.788480
08093,2016,5682170112,43530449,39.118914,-105.717648
08095,2016,1781724973,301808,40.594712,-102.345105
08097,2016,2514104931,6472574,39.217332,-106.915783
08099,2016,4243421953,15352639,37.958181,-102.392161
08101,2016,6179900085,30284242,38.170658,-104.489892
08103,2016,8342275114,4868111,39.972622,-108.200716
08105,2016,2361956094,984295,37.485853,-106.453128
08107,2016,6117602778,15831744,40.483664,-106.987702
08109,2016,8206547711,4454510,38.031651,-106.234666
08111,2016,1003660601,2035929,37.781074,-107.670257
08113,2016,3332606123,5204095,38.009374,-108.427326
08115,2016,1419419128,3530746,40.871568,-102.355358
08117,2016,1575588239,28287709,39.621023,-106.137555
08119,2016,1442734232,4944578,38.870023,-105.187339
08121,2016,6521806788,15207400,39.965790,-103.209744
08123,2016,10326716698,76543505,40.555961,-104.383666
08125,2016,6123763470,11134666,40.000631,-102.422649
09001,2016,1618664453,549280549,41.227413,-73.367061
09003,2016,1903985507,40128067,41.806053,-72.732916
09005,2016,2384058126,62393364,41.791883,-73.235404
09007,2016,956491411,180679144,41.433003,-72.522780
09009,2016,1565652258,667093746,41.349717,-72.900204
09011,2016,1722710821,276663622,41.472651,-72.108633
