State County Code,Workers 16 years and over,Car truck or van,Car truck or van-Drove alone,Car truck or van-Carpooled,Public transportation (excluding taxicab),Walked,Bicycle,Taxicab motorcycle or other means,Worked at home,No vehicle available,1 vehicle available,2 vehicles available,3 or more vehicles available
16019,49625,90.0,82.7,7.3,3.6,1.7,0.3,0.5,3.9,1.3,16.1,40.3,42.3
16027,90835,91.4,78.8,12.6,0.0,1.6,0.7,1.2,5.1,1.5,13.0,36.1,49.5
16055,66608,90.2,81.7,8.5,0.1,1.6,0.9,0.8,6.3,1.0,13.9,39.2,46.0
16083,38951,93.1,83.6,9.5,0.2,1.7,0.5,0.7,3.8,2.6,15.0,38.4,44.0
17001,N,N,N,N,N,N,N,N,N,1.7,19.6,43.8,34.8
17019,104734,77.3,70.6,6.7,7.8,6.7,3.0,1.5,3.8,6.1,29.3,41.6,23.0
17031,2503619,69.5,61.8,7.7,18.9,4.4,1.1,1.5,4.7,9.9,30.5,36.5,23.0
17037,54545,87.9,80.1,7.8,0.9,4.1,1.2,1.2,4.7,2.7,15.8,41.7,39.8
17043,482542,82.5,76.0,6.5,7.1,1.6,0.5,0.6,7.6,1.3,17.8,47.0,33.8
17089,254992,89.9,81.0,8.9,1.9,1.1,0.2,1.7,5.2,1.4,10.9,47.9,39.8
17091,48846,88.4,79.9,8.5,2.8,2.9,0.2,2.5,3.4,2.2,17.3,49.0,31.5
17093,64600,87.9,81.0,6.8,5.3,1.0,0.0,0.4,5.5,2.4,9.6,49.7,38.3
17097,358734,85.0,76.0,9.0,3.9,2.7,0.2,0.7,7.5,1.0,14.5,45.2,39.2
17099,49523,92.7,85.4,7.3,0.1,1.6,1.0,0.7,4.0,2.8,16.2,44.8,36.2
17111,159605,90.5,83.4,7.1,2.1,1.0,0.1,0.5,5.7,0.5,11.2,44.4,43.9
17113,91280,88.7,81.1,7.7,1.0,4.2,0.6,0.7,4.7,2.9,20.9,44.0,32.2
17115,45790,93.0,84.7,8.3,0.5,2.2,0.0,0.7,3.7,3.0,21.1,43.6,32.3
17119,122551,91.9,84.7,7.1,1.4,1.6,0.1,1.1,3.8,1.8,18.0,42.1,38.1
17143,81934,89.4,82.5,6.9,2.4,3.3,0.5,0.8,3.7,3.4,25.3,41.2,30.1
17161,66443,90.5,82.9,7.6,1.9,2.6,0.2,1.7,3.0,3.1,23.1,46.4,27.5
17163,122910,88.8,82.5,6.3,3.8,1.9,0.4,1.2,3.8,5.2,25.0,39.1,30.8
17167,92109,90.9,82.4,8.5,1.3,1.8,0.5,1.2,4.2,2.3,24.9,42.2,30.6
17179,64185,94.7,86.8,7.8,0.3,0.9,0.1,1.2,2.9,1.5,18.3,48.3,32.0
17183,30520,91.6,86.5,5.0,0.5,2.2,0.3,0.6,4.9,3.0,17.8,48.5,30.8
17197,340445,89.8,84.0,5.8,3.8,0.9,0.1,1.1,4.4,1.2,11.9,43.6,43.3
17199,N,N,N,N,N,N,N,N,N,2.2,19.6,43.0,35.1
17201,129599,92.3,81.5,10.8,1.4,1.4,0.2,1.0,3.8,3.2,22.5,46.1,28.2
18003,174769,93.0,83.6,9.5,0.8,0.9,0.2,0.4,4.6,2.3,21.8,43.3,32.6
18005,N,N,N,N,N,N,N,N,N,0.9,24.2,35.0,39.9
18019,N,N,N,N,N,N,N,N,N,2.3,21.0,41.2,35.5
18035,49194,88.4,81.4,7.0,1.3,6.3,0.5,0.7,2.8,3.9,25.0,42.5,28.5
18039,93723,92.1,78.6,13.4,0.6,2.0,1.4,1.4,2.6,3.9,17.5,44.3,34.3
18043,N,N,N,N,N,N,N,N,N,0.5,19.3,41.2,39.0
18053,27220,88.3,80.9,7.4,0.1,5.1,0.2,0.0,6.3,1.0,21.3,42.6,35.1
18057,169312,89.9,84.1,5.8,0.1,0.6,0.1,0.4,8.9,1.1,15.1,50.2,33.6
18059,N,N,N,N,N,N,N,N,N,1.3,15.2,39.7,43.8
18063,81283,92.4,88.3,4.1,0.0,1.1,0.0,1.4,5.1,0.9,13.7,44.1,41.3
18067,35910,93.1,82.9,10.3,0.0,1.6,0.0,1.6,3.6,3.5,19.5,44.1,32.9
18081,76871,91.9,83.1,8.8,0.6,1.8,0.2,0.5,5.0,1.1,16.0,46.4,36.5
18085,37200,94.1,79.8,14.3,0.0,1.3,1.5,0.9,2.2,6.7,16.0,41.6,35.7
18089,215882,91.3,82.5,8.8,3.4,1.4,0.2,1.3,2.5,2.0,21.7,42.2,34.0
18091,47937,90.4,82.5,7.9,0.4,2.0,0.2,2.1,5.0,2.1,17.6,41.8,38.4
18095,56855,92.3,82.5,9.8,0.0,3.1,0.4,0.8,3.4,1.8,18.6,43.0,36.6
18097,454130,92.3,84.0,8.3,1.4,1.7,0.5,0.9,3.1,3.3,26.4,43.8,26.5
18105,71162,84.2,74.0,10.3,2.8,8.1,1.3,0.8,2.8,4.5,21.3,40.1,34.2
18109,33739,92.6,83.3,9.3,0.3,2.1,0.0,1.2,3.9,1.3,13.6,39.1,46.0
18127,78978,92.8,87.8,5.0,0.9,1.8,0.1,1.1,3.4,0.6,14.7,45.4,39.3
18141,120678,89.6,82.4,7.2,1.8,3.4,0.6,0.6,3.9,3.6,23.0,41.6,31.8
18157,89138,86.8,76.9,9.9,3.6,5.4,1.3,0.5,2.5,2.4,25.1,44.7,27.8
18163,88298,91.8,83.9,7.9,2.6,3.1,0.2,0.5,1.9,5.1,24.3,41.5,29.1
18167,48424,89.3,81.5,7.8,0.8,3.6,0.6,1.5,4.3,2.4,21.8,44.8,31.0
18177,29356,91.4,84.2,7.2,0.1,1.4,0.7,2.3,4.0,3.3,19.8,43.5,33.5
19013,69588,90.9,81.3,9.5,0.6,4.5,0.2,0.7,3.1,1.8,19.9,40.5,37.8
19049,43960,92.1,81.6,10.5,0.8,0.7,0.0,0.4,6.1,1.3,14.9,49.5,34.4
19061,51196,89.8,80.9,8.9,1.0,5.0,0.3,1.1,2.8,1.3,18.7,43.2,36.7
19103,80356,75.5,66.7,8.8,5.7,10.6,1.8,1.4,4.9,3.9,20.6,42.3,33.2
19113,116401,92.6,83.5,9.1,0.7,2.0,0.3,1.0,3.4,1.4,19.5,45.0,34.1
19153,248427,91.8,84.6,7.2,1.5,2.0,0.2,0.8,3.7,1.7,18.5,45.8,34.0
19155,47255,93.5,86.6,6.9,0.5,1.9,0.2,0.9,3.0,1.1,17.0,42.2,39.6
19163,81537,92.4,87.5,4.9,0.7,1.7,0.3,0.8,4.1,1.9,18.7,46.1,33.3
19169,53288,78.3,71.7,6.5,5.0,7.3,1.8,0.2,7.5,3.5,18.7,39.9,37.9
19193,50631,91.2,81.3,9.9,1.2,2.5,0.0,0.8,4.3,2.0,20.6,38.7,38.7
20015,31517,91.2,80.0,11.1,0.0,1.8,0.3,1.4,5.3,2.0,11.8,41.0,45.2
20045,68346,89.1,82.1,7.0,2.1,4.4,0.5,1.2,2.8,1.8,23.7,40.9,33.6
20091,313189,90.6,83.8,6.8,0.3,1.3,0.2,0.8,6.9,1.1,15.8,48.9,34.2
20103,N,N,N,N,N,N,N,N,N,1.3,14.1,39.3,45.2
20161,40171,83.0,72.9,10.1,0.5,10.0,1.3,1.6,3.6,3.5,16.6,45.1,34.9
20173,247439,93.0,84.3,8.8,0.6,1.6,0.5,1.0,3.4,1.8,19.9,41.1,37.2
20177,85531,92.3,81.2,11.1,1.4,2.5,0.0,1.1,2.7,3.3,21.1,41.1,34.5
20209,74861,94.4,83.3,11.2,1.0,1.0,0.0,0.4,3.1,3.2,25.2,38.1,33.6
21015,64766,91.4,83.0,8.4,1.6,0.6,0.2,0.7,5.6,0.7,18.2,42.6,38.5
21029,N,N,N,N,N,N,N,N,N,0.9,12.3,41.8,45.0
