State County Code,AQI,ALAND,AWATER,INTPTLAT,INTPTLONG,PCP,TEMP,WIND,County Name,Region,Personal income (thousands of dollars),Population (persons) 2/,Per capita personal income (dollars),Earnings by place of work,Less: Contributions for government social insurance 3/,Employee and self-employed contributions for government social insurance,Employer contributions for government social insurance,Plus: Adjustment for residence 4/,Equals: Net earnings by place of residence,"Plus: Dividends, interest, and rent 5/",Plus: Personal current transfer receipts,Wages and salaries,Supplements to wages and salaries,Employer contributions for employee pension and insurance funds 6/,Proprietors' income 7/,Farm proprietors' income,Nonfarm proprietors' income,Farm earnings,Nonfarm earnings,Private nonfarm earnings,"Forestry, fishing, and related activities",Forestry and logging,"Fishing, hunting and trapping",Support activities for agriculture and forestry,"Mining, quarrying, and oil and gas extraction",Oil and gas extraction,Mining (except oil and gas),Support activities for mining,Utilities,Construction,Construction of buildings,Heavy and civil engineering construction,Specialty trade contractors,Manufacturing,Durable goods manufacturing,Wood product manufacturing,Nonmetallic mineral product manufacturing,Primary metal manufacturing,Fabricated metal product manufacturing,Machinery manufacturing,Computer and electronic product manufacturing,"Electrical equipment, appliance, and component manufacturing","Motor vehicles, bodies and trailers, and parts manufacturing",Other transportation equipment manufacturing,Furniture and related product manufacturing,Miscellaneous manufacturing,Nondurable goods manufacturing,Food manufacturing,Beverage and tobacco product manufacturing,Textile mills,Textile product mills,Apparel manufacturing,Leather and allied product manufacturing,Paper manufacturing,Printing and related support activities,Petroleum and coal products manufacturing,Chemical manufacturing,Plastics and rubber products manufacturing,Wholesale trade,Retail trade,Motor vehicle and parts dealers,Furniture and home furnishings stores,Electronics and appliance stores,Building material and garden equipment and supplies dealers,Food and beverage stores,Health and personal care stores,Gasoline stations,Clothing and clothing accessories stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Miscellaneous store retailers,Nonstore retailers,Transportation and warehousing,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Scenic and sightseeing transportation,Support activities for transportation,Couriers and messengers,Warehousing and storage,Information,Publishing industries (except Internet),Motion picture and sound recording industries,Broadcasting (except Internet),Internet publishing and broadcasting 8/,Telecommunications,"Data processing, hosting, and related services",Other information services 8/,Finance and insurance,Monetary Authorities-central bank,Credit intermediation and related activities,"Securities, commodity contracts, and other financial investments and related activities",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Real estate and rental and leasing,Real estate,Rental and leasing services,Lessors of nonfinancial intangible assets (except copyrighted works),"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,Administrative and support services,Waste management and remediation services,Educational services,Health care and social assistance,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Arts, entertainment, and recreation","Performing arts, spectator sports, and related industries","Museums, historical sites, and similar institutions","Amusement, gambling, and recreation industries",Accommodation and food services,Accommodation,Food services and drinking places,Other services (except government and government enterprises),Repair and maintenance,Personal and laundry services,"Religious, grantmaking, civic, professional, and similar organizations",Private households,Government and government enterprises,Federal civilian,Military,State and local,State government,Local government,Workers 16 years and over,Car truck or van,Car truck or van-Drove alone,Car truck or van-Carpooled,Public transportation (excluding taxicab),Walked,Bicycle,Taxicab motorcycle or other means,Worked at home,No vehicle available,1 vehicle available,2 vehicles available,3 or more vehicles available
27003,37.01912568306011,1095498607.0,59831231.0,45.27411,-93.242723,37.62,47.4,3.5408970546448093,"Anoka, MN",4.0,16225834,345957,46901,8871844,1064448,560312,504136,3826018,11633414,2094871,2497549,6525078,1499055,994919,847711,637,847074,11517,8860327,7753730,2725,,,,-188,-69,-91,,,858266,182342,54063,621861,2230094,2033652,12724,27369,17263,683055,132031,818049,,15008,,16192,131977,196442,15098,,0,,1442,,24138,47202,1168,44919,61260,603402,576237,99891,39562,15387,66346,59530,45518,,19815,16779,112704,42514,,,,,2046,149421,42173,2976,203,25246,12842,39531,38524,5058,4981,3505,,23049,1155,776,253431,,70668,,116633,5418,178780,153495,27944,-2659,406826,40686,305901,266304,39597,67190,1053063,527745,,,129814,101318,55463,548,45307,227558,7163,220395,416482,143404,116534,151109,5435,1106597,40827,37663,1028107,156856,871251,186132,88.9,81.1,7.8,3.7,1.2,0.3,0.6,5.3,1.6,12.8,46.0,39.7
27005,27.04986149584488,3406158356.0,336848661.0,46.937629,-95.74175699999999,28.69,43.7,,"Becker, MN",4.0,1464553,33734,43415,833895,99720,55504,44216,87639,821814,283161,359578,563244,145840,101624,124811,10794,114017,27013,806882,621530,4875,,,,3968,,3935,,,79564,22937,3358,53269,115851,87737,,,,53419,7063,,,0,,1483,4383,28114,1345,57,,,0,,,,416,635,55,,80723,14164,,1727,25671,6648,2139,4297,2387,,12538,1886,7769,47087,,1789,601,35626,4621,874,60,,,659,6075,1766,,,,,,,26480,0,13972,2169,8735,1604,17435,15155,2626,-346,,,21902,20735,1167,,,29034,,17564,15713,8104,,,3549,27219,7315,19904,40000,11935,9605,17863,597,185352,19114,3649,162589,30307,132282,,,,,,,,,,,,,
27007,20.318435754189945,6487127468.0,1426314757.0,47.879508,-95.00505,24.22,42.4,,"Beltrami, MN",4.0,1716814,46106,37236,1116275,133355,70691,62664,-52131,930789,300528,485497,800239,220537,157873,95499,1963,93536,3088,1113187,765912,,1468,,,,,,,16211,102003,21351,29448,51204,53660,38947,13194,,218,6171,,,,,,,2704,14713,724,,0,,,0,,,301,,,28638,93799,17909,1255,2167,10905,10928,6253,6130,3527,2605,23194,3900,5026,39327,,1815,279,8849,3121,,,,5670,,23783,,,4174,,11047,,,24738,0,16887,2438,5279,134,14903,14074,,,28939,2230,25428,23309,2119,6223,216177,,,24801,19871,5869,,,2739,38821,7482,31339,40268,11385,8709,19075,1099,347275,37956,4831,304488,104704,199784,,,,,,,,,,,,,
27017,29.258241758241763,2230821122.0,36133709.0,46.603818,-92.671044,35.46,42.4,,"Carlton, MN",4.0,1372446,35738,38403,810322,100518,53500,47018,115816,825620,194536,352290,597704,163577,116559,49041,-1488,50529,-1077,811399,519556,,3182,,,,,,,11407,84575,,,35398,121586,38565,,,,,,,,,,,795,83021,176,,0,,,0,,332,67,,,22111,43165,5462,,,1425,6814,3991,7858,285,222,12432,874,2745,19955,,,176,5470,,,,802,,0,1897,,,100,,916,,,32790,0,19363,,10772,,6115,,,-125,23768,,,4178,,,,20773,,27502,,2471,,,1291,17646,1523,16123,32951,11635,7988,13098,230,291843,4626,3699,283518,87245,196273,,,,,,,,,,,,,
27031,15.483146067415731,3761621396.0,4887941605.0,47.538569,-90.29019,37.49,38.6,,"Cook, MN",4.0,246375,5286,46609,154184,17979,10427,7552,-14222,121983,67190,57202,94611,27670,20118,31903,0,31903,0,154184,102826,,,,,114,,58,,,16067,,,8966,,2334,,,,180,129,56,,0,,,,,1483,,0,,,,51,70,524,803,69,3322,11882,996,,57,1144,3754,,1769,258,455,,1503,335,,0,,,,90,58,,,,,1285,,,,,,,,2089,0,,,,,3927,3023,951,,3195,0,3822,2995,827,1262,5667,,,,,4590,,,4039,25390,18361,7029,5728,,1757,2212,,51358,12589,574,38195,2252,35943,,,,,,,,,,,,,
27035,29.439775910364148,2585784334.0,409678832.0,46.491653,-94.070718,35.2,44.3,,"Crow Wing, MN",4.0,2678279,63940,41887,1726209,215633,118282,97351,-45361,1465215,518780,694284,1202062,306359,209008,217788,-1440,219228,486,1725723,1435961,,,,7790,,126,,334,14838,195833,66546,35470,93817,146728,110974,13893,4300,,49158,17686,8381,,,,5833,4202,35754,3952,2688,,1016,,,,15806,315,,9382,45480,183727,40458,2944,6709,20921,25548,11354,9971,3792,3135,35431,12702,10762,50939,,18891,417,13836,7795,,,1078,6667,,35090,10302,,5170,,17725,96,,102535,0,37432,17477,46482,1144,29975,,,-491,79147,5697,50724,46725,3999,13561,303127,134718,,,38028,6093,,,4301,92467,42293,50174,69954,18629,21670,28237,1418,289762,18030,9627,262105,77461,184644,,,,,,,,,,,,,
27037,30.617486338797807,1456708835.0,63156296.0,44.670893,-93.062481,38.15,48.3,4.774161334905664,"Dakota, MN",4.0,22951451,417486,54975,14200336,1659202,866213,792989,3973317,16514451,3563953,2873047,10461441,2397621,1604632,1341274,9566,1331708,26630,14173706,12473923,7367,,,,24017,-226,,,83729,1001901,196519,162672,642710,1876773,904423,54695,941,,218320,86598,287982,14610,,,71085,110444,972350,210880,94840,,3958,503,,56368,75852,,114063,120159,1087399,1095869,240912,46091,40320,80134,142727,78038,63242,46279,24172,150463,73549,109942,799214,,22887,2710,335609,53204,,269,107738,108032,32347,732489,623540,9903,9242,,37749,30980,21075,1438188,0,307473,87757,1032450,10508,309322,238261,71833,-772,893551,325352,420531,366350,54181,174961,1154493,617584,,202776,,87656,28436,210,59010,365842,26977,338865,595269,183682,182712,216911,11964,1699783,367835,45782,1286166,117250,1168916,232206,89.2,80.0,9.2,3.0,1.2,0.2,0.7,5.6,1.3,15.2,47.9,35.6
27049,34.21495327102804,1960231259.0,61007240.0,44.406178000000004,-92.716,44.15,47.6,,"Goodhue, MN",4.0,2281877,46676,48888,1526296,174866,97429,77437,133277,1484707,391751,405419,1013112,258436,180999,254748,4755,249993,24479,1501817,1257277,,,98,11041,,,,,,99497,22302,19194,58001,390092,77153,,-19636,,20439,18675,,,,,,11466,312939,44166,1708,0,,0,,3911,,40178,65062,33789,57313,83166,18224,1736,1245,11875,6792,4576,10146,1884,776,12350,2538,11024,,,817,,28071,8608,956,65,1313,,,11239,7089,,,,3106,,,32402,0,17154,4671,9461,1116,17366,12237,5410,-281,29316,28722,29701,22861,6840,4303,179401,32715,89782,44586,12318,7850,2495,254,5101,33244,8568,24676,50457,14425,13216,21290,1526,244540,9439,5019,230082,23016,207066,,,,,,,,,,,,,
27053,45.1775956284153,1433923040.0,137089920.0,45.006121,-93.475228,38.58,47.9,3.621633874316938,"Hennepin, MN",4.0,83103014,1232483,67427,84569004,9635972,5008218,4627754,-20230324,54702708,18579255,9821051,65021801,13023910,8396156,6523293,362,6522931,10545,84558459,76643159,9721,,,8984,48789,,31702,,517164,3341287,1143340,149579,2048368,7158661,5368321,47698,33225,93618,697591,1043838,1903318,213733,,,145409,1152056,1790340,318068,46186,,16480,13858,,160036,459348,,394530,305039,6057778,3792936,543847,137183,249409,296158,506410,357699,136998,253040,129793,413707,208975,559717,3045626,1398119,92083,25586,589482,186150,,,204365,,233935,2182232,683420,96009,240418,,486505,556419,119461,10489051,,3587919,2647506,4082232,,1572235,1271724,219398,81113,13944512,6288236,3421686,3328116,93570,960980,8536048,3667929,2722227,941955,1203937,1070890,721099,42595,307196,2034059,352697,1681362,2171268,493946,752043,853883,71396,7915300,1485357,171695,6258248,2038101,4220147,669546,80.6,72.4,8.1,7.5,3.3,1.5,1.0,6.1,4.3,24.0,46.1,25.7
27075,24.0655737704918,5463008494.0,2282651729.0,47.517111,-91.411704,35.12,39.8,,"Lake, MN",4.0,458660,10625,43168,241105,31306,17199,14107,36773,246572,84619,127469,169759,47270,33163,24076,-62,24138,35,241070,189360,,1132,,,,,,,,11421,,,6961,41663,37157,,,,4078,20794,,0,0,0,0,,4506,,,0,,0,,,,243,,,2571,11775,5055,,,464,3305,,1520,,,,286,54,,0,8409,,,,,,,,,2198,,,,,,,,6596,0,5099,,,80,3496,,,-70,4340,,4529,,,,,4841,,4199,2408,2437,292,,,18993,10115,8878,9622,2998,1691,4848,85,51710,1699,1139,48872,15899,32973,,,,,,,,,,,,,
27083,29.29494382022472,1850712587.0,18397339.0,44.409195000000004,-95.847268,31.81,47.6,,"Lyon, MN",4.0,1145674,25699,44580,899707,101240,54595,46645,-95118,703349,224262,218063,630515,163245,116600,105947,9058,96889,17561,882146,694322,5134,,,,651,86,337,228,,48686,10398,12249,26039,147368,40576,11405,,155,,,,,,-133,,,106792,98655,632,,,,,181,,1853,,244,41858,63723,11295,1764,1649,8168,11217,,6412,1223,1318,12569,3091,,,,840,222,20655,,,,,,,4894,2271,,,,702,,,84242,0,53504,4706,25349,683,22564,21396,1650,-482,29802,56757,19652,17547,2105,7632,76282,44566,,14682,,2511,,,,19406,1770,17636,31528,11247,9609,,,187824,9411,2704,175709,55391,120318,,,,,,,,,,,,,
27095,30.701421800947863,1482347345.0,283000300.0,45.929043,-93.63299599999999,35.96,45.3,,"Mille Lacs, MN",4.0,985261,25866,38091,493637,61435,35054,26381,137938,570140,139481,275640,340620,94228,67847,58789,-6515,65304,-4860,498497,324493,,240,,,,,,77,4158,49599,10723,5696,33180,45484,26687,2783,,,3514,4577,3901,,,,,,18797,,632,,,,,,,889,1355,,9912,32719,4143,,,3743,4412,2279,3946,,894,8394,1690,2460,12073,,,382,7454,2914,,,,81,,2150,,,0,,1334,,,15257,0,8969,,,216,5323,,,-102,20805,,,3170,,,,11829,,28299,8423,2525,,,1598,16158,4406,11752,22303,6130,5726,9898,549,174004,4250,2780,166974,3965,163009,,,,,,,,,,,,,
27109,33.8879781420765,1693067589.0,3019334.0,44.003429,-92.406722,44.64,46.9,,"Olmsted, MN",4.0,8048710,153102,52571,7356196,856626,440645,415981,-857819,5641751,1293692,1113267,5729319,1216354,800373,410523,-3892,414415,7082,7349114,6714161,6183,,,,723,-53,798,,18353,340929,76528,25211,239190,654612,496672,,8543,316,24101,,,,,-272,17997,20191,157940,106830,,0,0,,0,,14594,5205,,,117423,378215,75513,13562,11073,37533,58880,22873,19451,16929,17029,69549,21168,14655,104445,,1606,1050,43669,33746,,104,4817,16864,,130357,35200,2437,,,29621,,2902,128076,0,67657,27437,32206,776,96969,88197,,,171908,45904,113744,101777,11967,38346,3949551,2983273,,104115,,26165,8117,1351,16697,203974,47519,156455,188284,40634,65038,79441,3171,634953,87384,16971,530598,92105,438493,79839,85.0,73.7,11.3,4.6,4.5,1.0,0.7,4.2,2.5,17.2,50.5,29.8
27123,31.73770491803279,394086415.0,46423386.0,45.01525,-93.10014100000001,40.35,47.9,,"Ramsey, MN",4.0,26916100,540649,49785,27334382,3147939,1632315,1515624,-7391972,16794471,5266742,4854887,21104598,4603214,3087590,1626570,189,1626381,1284,27333098,22724947,2878,,,,-9454,-5650,-1503,-2301,145901,1168189,232685,27613,907891,2978217,2070696,28786,18230,103061,183989,236413,1092901,11466,7058,6847,15083,366862,907521,120129,10722,,1277,2401,,112843,345569,,188875,108103,1363393,1130152,226332,54854,62356,100697,174471,116707,42994,68807,31868,130524,57535,63007,509277,,106572,,214500,57812,,1445,45865,51535,15358,801187,208956,5910,98719,,249017,179269,59316,1862696,0,626398,301050,919082,16166,628455,544014,,,1847013,3079970,909893,841145,68748,814192,3581831,1681818,891299,455304,553410,384977,278869,50882,55226,624717,66233,558484,901463,195971,216561,469796,19135,4608151,253861,65663,4288627,2179088,2109539,274046,83.5,74.2,9.3,6.5,2.3,0.9,1.0,5.6,3.5,24.3,43.4,28.8
