State County Code,Year,WIND
26101,2015,6.2052487589041085
26105,2015,4.553983624657535
26113,2015,3.479823252808988
26115,2015,5.42278849041096
26121,2015,2.8128396602209955
26125,2015,3.4275016229357806
26139,2015,3.4720795105189306
26147,2015,5.597785140401148
26153,2015,5.594811276712326
26161,2015,3.9782794849315044
26163,2015,4.81502014600095
27003,2015,2.904211081699347
27053,2015,2.912595265432099
27137,2015,5.222761813888889
28049,2015,4.156705279452053
29021,2015,3.5976986547945162
29037,2015,5.114348387362637
29039,2015,4.358575005479453
29047,2015,3.7118821506849287
29071,2015,5.394385972111553
29093,2015,3.9224650114285726
29095,2015,3.2962763095890413
29097,2015,2.1799213626373612
29099,2015,2.8049499048913065
29113,2015,3.761289298630139
29137,2015,3.5900920755287014
29157,2015,5.559779821428573
29183,2015,5.155094723032069
