State County Code,Year,TEMP
29039,2012,60.05333943922649
29047,2012,58.86790034530388
29077,2012,61.36511407377052
29095,2012,62.299854740437134
29099,2012,50.93834205932201
29183,2012,49.264698978142036
29189,2012,25.447233236098427
29510,2012,61.35613791372916
30027,2012,34.33835879347826
30029,2012,43.12693542076502
30049,2012,46.43242663934427
30071,2012,28.726902173913043
30075,2012,48.63113677348066
30087,2012,48.82968868324024
30111,2012,51.12736068579235
31055,2012,60.04588886301372
31157,2012,68.49339704918033
32003,2012,70.84030015189857
32021,2012,50.302195711864435
32031,2012,55.78915791701239
32033,2012,50.98721743661972
33001,2012,48.623703185792365
33005,2012,51.49611942896174
33009,2012,47.28611806830598
33011,2012,48.70429579726026
33013,2012,52.30621722814207
33015,2012,52.309213437158476
34013,2012,57.492320060109314
